Hours_Studied,Attendance,Previous_Scores,Exam_Score,Parental_Involvement_encoded,Access_to_Resources_encoded,Extracurricular_Activities_encoded,Sleep_Hours_encoded,Motivation_Level_encoded,Internet_Access_encoded,Tutoring_Sessions_encoded,Family_Income_encoded,Teacher_Quality_encoded,School_Type_encoded,Peer_Influence_encoded,Physical_Activity_encoded,Learning_Disabilities_encoded,Parental_Education_Level_encoded,Distance_from_Home_encoded,Gender_encoded,Performance_Category,Engagement_Index,Behavioral_Stability_Score,Support_Score,Academic_Momentum,Consistency_Index,Weighted_Engagement,Student_Risk_Profile,Rolling_Attendance_Mean,Study_Hours_Trend_Slope,Performance_Velocity
0.375,0.2,-0.08,67,66.35826477187734,68.09215189873417,66.93143499437991,67.24296381390006,66.75219411461022,67.29289456450557,66.4897554527429,66.84842814371258,67.10017486884837,67.21291866028709,67.62319939347991,67.19607072691552,67.34912043301759,66.89797766374886,67.49379903821817,67.22889355007865,Medium Performance (Medium Risk),0.5775,-0.003353396109373549,0.5,0.507,0.7022032058402907,0.46511996194618344,0.46562499999999996,0.2,0.0,0.0
-0.125,-0.8,-0.64,61,66.35826477187734,67.13437782464598,66.93143499437991,67.21872766261616,66.75219411461022,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.21291866028709,66.56427015250544,67.31301587301587,67.34912043301759,67.31573655103067,66.98148148148148,67.24489795918367,Low Performance (High Risk),0.3275,-0.003353396109373549,0.5,0.239,0.6395730870979942,0.2971939381977241,0.723125,-0.30000000000000004,-0.49999999999999994,-0.56
0.5,0.9,0.64,74,67.09815585960737,67.13437782464598,67.44184865413915,67.24296381390006,67.33064756789018,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.21291866028709,67.19791666666667,67.31301587301587,67.34912043301759,67.97088122605363,67.49379903821817,67.22889355007865,High Performance (Low Risk),0.73,-0.003353396109373549,0.5,0.784,0.49342873080766164,0.5522150669396576,0.25,0.09999999999999998,0.062499999999999875,1.28
1.125,0.45,0.92,71,66.35826477187734,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,66.98026617714548,67.33495873968492,67.10017486884837,67.21291866028709,66.56427015250544,67.31301587301587,67.34912043301759,66.89797766374886,66.98148148148148,67.22889355007865,High Performance (Low Risk),0.7025,-0.003353396109373549,0.5,0.857,0.4793303639101317,0.5630453935601516,0.278125,0.1875,0.2874999999999999,0.28
-0.125,0.6,-0.4,70,67.09815585960737,67.13437782464598,67.44184865413915,67.19476744186046,67.33064756789018,67.29289456450557,67.89473684210526,67.33495873968492,67.6769388803287,67.21291866028709,67.19791666666667,67.31301587301587,67.34912043301759,67.31573655103067,67.49379903821817,67.24489795918367,High Performance (Low Risk),0.6075,-0.003353396109373549,0.5,0.42300000000000004,0.6747701167144358,0.44343334412101243,0.44812499999999994,0.26999999999999996,0.024999999999999977,-1.32
-0.125,0.4,0.56,71,67.09815585960737,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,67.89473684210526,67.33495873968492,67.10017486884837,67.21291866028709,67.62319939347991,67.19607072691552,67.34912043301759,67.97088122605363,67.49379903821817,67.22889355007865,High Performance (Low Risk),0.5675,-0.003353396109373549,0.5,0.695,0.724838719020394,0.5230470645822041,0.363125,0.30999999999999994,-0.06249999999999999,0.9600000000000001
1.125,0.2,-0.28,67,67.09815585960737,66.20335110434121,67.44184865413915,67.24296381390006,66.75219411461022,67.29289456450557,66.98026617714548,66.84842814371258,67.10017486884837,67.28770532603285,67.19791666666667,67.18500307314075,67.34912043301759,66.89797766374886,66.98148148148148,67.22889355007865,Medium Performance (Medium Risk),0.6525,-0.003353396109373549,0.5,0.477,0.5694672586491644,0.4520727725079581,0.47187500000000004,0.51,-9.901610552566246e-17,-0.8400000000000001
0.625,-0.1,-1.0,66,66.35826477187734,68.09215189873417,67.44184865413915,67.19476744186046,67.33064756789018,67.29289456450557,66.98026617714548,67.84239558707644,67.6769388803287,67.21291866028709,66.56427015250544,67.18500307314075,67.34912043301759,66.89797766374886,66.45744680851064,67.22889355007865,Medium Performance (Medium Risk),0.5425,-0.003353396109373549,0.5,0.217,0.6979103876188536,0.36676139830189597,0.6268750000000001,0.30999999999999994,0.024999999999999963,-0.72
-0.375,0.7,0.2,69,67.09815585960737,68.09215189873417,66.93143499437991,67.19476744186046,67.70432145564821,67.29289456450557,66.4897554527429,67.33495873968492,66.75342465753425,67.28770532603285,67.19791666666667,66.96912114014252,67.34912043301759,67.31573655103067,67.49379903821817,67.22889355007865,High Performance (Low Risk),0.6025,-0.003353396109373549,0.5,0.601,0.5592714110359935,0.472233602985324,0.36187499999999995,0.36,0.025000000000000022,1.2
0.375,0.9,-0.16,72,67.09815585960737,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,66.4897554527429,67.84239558707644,67.6769388803287,67.21291866028709,67.62319939347991,67.6038781163435,67.34912043301759,66.89797766374886,66.98148148148148,67.22889355007865,High Performance (Low Risk),0.7175,-0.003353396109373549,0.5,0.539,0.5266358002127173,0.48160648082066876,0.353125,0.42000000000000004,-0.05,-0.36
-0.375,0.0,0.52,68,66.35826477187734,68.09215189873417,66.93143499437991,67.21872766261616,67.33064756789018,66.53507014028057,68.22923588039868,67.33495873968492,67.6769388803287,67.28770532603285,67.19791666666667,67.31301587301587,67.34912043301759,67.31573655103067,66.98148148148148,67.22889355007865,Medium Performance (Medium Risk),0.4625,-0.003353396109373549,0.5,0.641,0.832495623520609,0.49687844548224713,0.444375,0.34,-0.32500000000000007,0.68
-0.375,0.85,0.48,71,67.09815585960737,68.09215189873417,67.44184865413915,67.19476744186046,66.75219411461022,67.29289456450557,67.56701030927834,66.84842814371258,67.6769388803287,67.28770532603285,67.19791666666667,67.18500307314075,67.34912043301759,66.89797766374886,67.49379903821817,67.22889355007865,High Performance (Low Risk),0.6325000000000001,-0.003353396109373549,0.5,0.6970000000000001,0.5355611374191516,0.5052915482619555,0.300625,0.4699999999999999,-0.20000000000000007,-0.040000000000000036
0.125,0.15,0.88,70,67.09815585960737,67.13437782464598,67.44184865413915,67.21872766261616,66.75219411461022,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.21291866028709,67.62319939347991,67.31301587301587,67.34912043301759,66.89797766374886,67.49379903821817,67.22889355007865,High Performance (Low Risk),0.5425,-0.003353396109373549,0.5,0.7809999999999999,0.8226165964973098,0.5609026400775872,0.36062500000000003,0.52,0.025000000000000022,0.4
-1.375,0.1,-0.12,66,67.09815585960737,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.28770532603285,67.62319939347991,67.19607072691552,67.34912043301759,67.97088122605363,67.49379903821817,67.22889355007865,Medium Performance (Medium Risk),0.38250000000000006,-0.003353396109373549,0.5,0.41700000000000004,0.6013051758948105,0.35944035595708745,0.531875,0.4,-0.30000000000000004,-1.0
-1.25,-0.1,-0.04,65,67.09815585960737,68.09215189873417,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,66.98026617714548,66.84842814371258,67.10017486884837,67.28770532603285,67.19791666666667,67.31301587301587,67.34912043301759,67.97088122605363,67.49379903821817,67.22889355007865,Low Performance (High Risk),0.355,-0.003353396109373549,0.5,0.42999999999999994,0.6137665495740222,0.3575826306929297,0.55375,0.2,-0.27499999999999997,0.07999999999999999
-0.375,-0.6,-0.2,64,67.09815585960737,67.13437782464598,66.93143499437991,67.21872766261616,67.33064756789018,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.28770532603285,67.62319939347991,67.31301587301587,67.34912043301759,66.89797766374886,67.49379903821817,67.24489795918367,Low Performance (High Risk),0.3425,-0.003353396109373549,0.5,0.377,0.5789010815742053,0.3309595370929663,0.639375,0.08,-0.13749999999999996,-0.16
-0.75,-1.0,-0.4,60,67.09815585960737,66.20335110434121,67.44184865413915,67.13782051282051,66.75219411461022,67.29289456450557,66.4897554527429,67.84239558707644,67.10017486884837,67.28770532603285,67.62319939347991,67.19607072691552,67.34912043301759,67.31573655103067,67.49379903821817,67.22889355007865,Low Performance (High Risk),0.225,-0.003353396109373549,0.5,0.27,0.4327118976447743,0.23437170030708016,0.7437499999999999,-0.29,-0.07500000000000001,-0.2
0.25,-0.5,0.28,65,66.35826477187734,67.13437782464598,67.44184865413915,67.19476744186046,67.33064756789018,67.29289456450557,66.98026617714548,66.84842814371258,67.6769388803287,67.21291866028709,67.19791666666667,67.19607072691552,67.34912043301759,66.89797766374886,67.49379903821817,67.24489795918367,Low Performance (High Risk),0.42500000000000004,-0.003353396109373549,0.5,0.554,0.6411448829123267,0.4212582973605906,0.54625,-0.41999999999999993,0.37500000000000017,0.68
-0.625,0.0,0.64,67,67.09815585960737,67.13437782464598,67.44184865413915,67.14967741935484,66.75219411461022,67.29289456450557,67.89473684210526,66.84842814371258,67.10017486884837,67.21291866028709,67.62319939347991,67.18500307314075,67.34912043301759,67.31573655103067,66.98148148148148,67.24489795918367,Medium Performance (Medium Risk),0.4375,-0.003353396109373549,0.5,0.667,0.7714365519793766,0.4849666311740006,0.435625,-0.44000000000000006,0.18750000000000014,0.36
-1.0,-0.25,-0.68,66,67.09815585960737,68.09215189873417,67.44184865413915,67.24296381390006,67.33064756789018,67.29289456450557,67.89473684210526,67.33495873968492,67.10017486884837,67.28770532603285,67.62319939347991,67.31301587301587,67.34912043301759,67.31573655103067,67.49379903821817,67.22889355007865,Medium Performance (Medium Risk),0.35,-0.003353396109373549,0.5,0.236,0.5631098507917416,0.2877512909364736,0.65375,-0.4699999999999999,-0.11249999999999996,-1.32
1.125,-0.1,0.96,69,67.09815585960737,67.13437782464598,66.93143499437991,67.2978417266187,67.70432145564821,67.29289456450557,66.4897554527429,67.84239558707644,67.10017486884837,67.21291866028709,66.56427015250544,66.96912114014252,67.34912043301759,66.89797766374886,66.98148148148148,67.24489795918367,High Performance (Low Risk),0.5925,-0.003353396109373549,0.5,0.825,0.6255394785448933,0.549687216487104,0.369375,-0.37,0.25000000000000006,1.6400000000000001
-0.125,0.95,0.36,72,67.09815585960737,68.09215189873417,66.93143499437991,67.19476744186046,67.33064756789018,67.29289456450557,66.98026617714548,67.33495873968492,67.6769388803287,67.21291866028709,67.19791666666667,67.19607072691552,67.34912043301759,66.89797766374886,67.49379903821817,67.22889355007865,High Performance (Low Risk),0.6775,-0.003353396109373549,0.5,0.679,0.6186783295698458,0.5300149866920945,0.291875,0.019999999999999997,0.1,-0.6
